macro address,Write,Function description,Notes
1134,B,Dust cover open/close signal effective level,
1135,B,Inverter alarm input signal port Number,
1136,B,Inverter alarm input signal enable,
1137,B,Inverter alarm input signal effective level,
1138,B,Self-define Alarm signal 1 detection input Port,
1139,B,Self-define Alarm signal 1 ENABLE,
1140,B,Self-define Alarm signal 1 Effective level,
1141,B,Self-define Alarm signal 2 detection input Port,
1142,B,Self-define Alarm signal 2 ENABLE,
1143,B,Self-define Alarm signal 2 Effective level,
1144,B,Self-define Alarm signal 3 detection input Port,
1145,B,Self-define Alarm signal 3 ENABLE,
1146,B,Self-define Alarm signal 3 Effective level,
1147,B,Self-define Alarm signal 4 detection input Port,
1148,B,Self-define Alarm signal 4 ENABLE,
1149,B,Self-define Alarm signal 4 Effective level,
1150,B,Self-define Alarm signal 5 detection input Port,
1151,B,Self-define Alarm signal 5 ENABLE,
1152,B,Self-define Alarm signal 5 Effective level,
1153,B,User storage,Safe park X position
1154,B,User storage,Safe park Y position
1155,B,User storage,Tool change park X position
1156,B,User storage,Tool change park Y position
1157,B,,
1158,B,,
1159,B,,
1160,B,,
1161,B,,
1162,B,,
1163,B,,
1164,B,,
1165,B,,
1166,B,,
1167,B,,
1168,B,,
1169,B,,
1170,B,User storage,Probe config
1171,B,User storage,Probe config
1172,B,User storage,Probe config
1173,B,User storage,Probe config
1174,B,User storage,Probe config
1175,B,User storage,Probe config
1176,B,,
1177,B,,
1178,B,,
1179,B,,
1180,B,,
1181,B,,
1182,B,,
1183,B,,
1184,B,,
1185,B,,
1186,B,,
1187,B,,
1188,B,,
1189,B,,
1190,B,,
1191,B,,
1192,B,,
1193,B,,
1194,B,Input port for M307 command,
1195,B,Enable input for command M307,
1196,B,Active level for command M307,
1197,B,Tool close input signal(M304) Port Number,
1198,B,Tool close input signal Enable,
1199,B,Tool close input signal Effective level,
1200,B,,
1201,B,,
1202,B,,
1203,B,,
1204,B,,
1205,B,,
1206,B,,
1207,B,,
1208,B,,
1209,B,,
1210,B,,
1211,B,,
1212,B,,
1213,B,,
1214,B,,
1215,B,Spindle Forward Rotation Signal Port Number,
1216,B,Spindle forward signal ENABLE,
1217,B,Spindle forward signal effective level,
1218,B,Spindle Reverse Rotation Signal Port Number,
1219,B,Spindle Reverse signal ENABLE,
1220,B,Spindle Reverse signal effective level,
1221,B,Spindle speed section 1 signal Port Number,
1222,B,Spindle speed section 1 signal enable,
1223,B,Spindle speed section 1 signal Effective level,
1224,B,Spindle speed section 2 signal Port Number,
1225,B,Spindle speed section 2 signal enable,
1226,B,Spindle speed section 2 signal Effective level,
1227,B,Spindle speed section 3 signal Port Number,
1228,B,Spindle speed section 3 signal enable,
1229,B,Spindle speed section 3 signal Effective level,
1230,B,Cooling M8/M9 control signal Port Number,
1231,B,Cooling M8/M9 control signal enable,
1232,B,Cooling M8/M9 control signal Effective level,
1233,B,Lubrication M10/M11 control signal Port Number,
1234,B,Lubrication M10/M11 control signal enable,
1235,B,Lubrication M10/M11 control signal Effective level,
1236,B,System alarm signal Output Port Number,
1237,B,System alarm signal Output Enable,
1238,B,System alarm signal Output Effective level,
1239,B,System working indicator signal output port number,
1240,B,System working indicator signal output Enable,
1241,B,System working indicator signal output effective level,
1242,B,System brake signal output port number,Electromagnetic axle brake (e.g. to prevent Z from dropping)
1243,B,System brake signal output Enable,Electromagnetic axle brake (e.g. to prevent Z from dropping)
1244,B,System brake signal output Effective level,Electromagnetic axle brake (e.g. to prevent Z from dropping)
1245,B,System ready indicator signal output port number,
1246,B,System ready indicator signal output Enable,
1247,B,System ready indicator signal output Effective level,
1248,B,,
1249,B,,
1250,B,"""Tool release/lock signal (M154/M155) output port number",
1251,B,"""Tool release/lock signal (M154/M155) output Enable",
1252,B,"""Tool release/lock signal (M154/M155) output Effective Level",
1253,B,Tool launch/retract signal(M152/M153) output port number,
1254,B,Tool launch/retract signal(M152/M153) output Enable,
1255,B,Tool launch/retract signal(M152/M153) output Effective level,
1256,B,Front positioning on/off signal(M156/M157) output port number,
1257,B,Front positioning on/off signal(M156/M157) output Enable,
1258,B,Front positioning on/off signal(M156/M157) output Effective level,
1259,B,Vacuum pump on/off output signal(M158/M159) output port number,
1260,B,Vacuum pump on/off output signal(M158/M159) output enable,
1261,B,Vacuum pump on/off output signal(M158/M159) output Effective level,
1262,B,Dust cover open/close output signal (M150/M151) output port number,
1263,B,Dust cover open/close output signal (M150/M151) output Enable,
1264,B,Dust cover open/close output signal (M150/M151) output Effective level,
1265,B,Push cylinder open/close signal(M160/M161) output port number,
1266,B,Push cylinder open/close signal(M160/M161) output Enable,
1267,B,Push cylinder open/close signal(M160/M161) output Effective level,
1268,B,Vacuum cleaner on/off signal (M162/M163) output port number,
1269,B,Vacuum cleaner on/off signal (M162/M163) output Enable,
1270,B,Vacuum cleaner on/off signal (M162/M163) output Effective level,
1271,B,Left positioning on/off signal(M164/M165) output port number,
1272,B,Left positioning on/off signal(M164/M165) Enable,
1273,B,Left positioning on/off signal(M164/M165) Effective level,
1274,B,Vacuum valve open/close signal(M1166/M167) output port number,
1275,B,Vacuum valve open/close signal(M1166/M167) Enable,
1276,B,Vacuum valve open/close signal(M1166/M167) Effective level,
1277,B,Multi-process 1 open/close signal(M168/M169) output port number,
1278,B,Multi-process 1 open/close signal(M168/M169) Enable,
1279,B,Multi-process 1 open/close signal(M168/M169) Effective level,
1280,B,Multi-process 2 open/close signal(M170/M171) output port number,
1281,B,Multi-process 2 open/close signal(M170/M171) Enable,
1282,B,Multi-process 2 open/close signal(M170/M171) Effective level,
1283,B,Multi-process 3 open/close signal(M170/M171) output port number,
1284,B,Multi-process 3 open/close signal(M170/M171) Enable,
1285,B,Multi-process 3 open/close signal(M170/M171) Effective level,
1286,B,Multi-process 4 open/close signal(M170/M171) output port number,
1287,B,Multi-process 4 open/close signal(M170/M171) Enable,
1288,B,Multi-process 4 open/close signal(M170/M171) Effective level,
1289,B,Cooling 1 on/off signal(M176/M177) output port number,
1290,B,Cooling 1 on/off signal(M176/M177) Enable,
1291,B,Cooling 1 on/off signal(M176/M177) Effective level,
1292,B,Cooling 2 on/off signal(M176/M177) output port number,
1293,B,Cooling 2 on/off signal(M176/M177) Enable,
1294,B,Cooling 2 on/off signal(M176/M177) Effective level,
1295,B, Servo spindle enable output port,Switches analog/servo spindle (for machines with autochange)
1296,B,Enable servo spindle enable output port,Switches analog/servo spindle (for machines with autochange)
1297,B, Servo spindle enable port output level,Switches analog/servo spindle (for machines with autochange)
1298,B,,
1299,B,,
1300,B,current tool number,The current tool number. You can change. Then change the tool number on the main screen.
1301,B,Tool capacity,
1302,B,Tool magazine type 0:NULL 1：Multiple 2：Follow row 3：Fixed row 4：Disk,
1303,B,The virtual Tool function turned on,
1304,B,Is the tool change prompt valid?,Whether to pause and prompt to change the tool when the tool change.
1305,B,Automatic tool probe after tool change,
1306,B,The highest pos when chang Tool,
1307,B,The lowest pos when chang Tool,
1308,B,X-axis Front position for Tool change in Mach coordinate,
1309,B,Y-axis Front position for Tool change in Mach coordinate,
1310,B,Z-axis Front position for Tool change in Mach coordinate,
1311,B,Spindle move speed when changing the tool,
1312,B,Z-axis lifting speed when changing the tool,
1313,B, The magazine horizontally moving speed,
1314,B,Spindle lock output delay,
1315,B,"After tool change, Back to the position before the tool change",
1316,B,X mach pos when manually changing the tool,
1317,B,Y mach pos when manually changing the tool,
1318,B,Z mach pos when manually changing the tool,
1319,B,Z axis downward movement speed,
1320,B,Pushing start X mach pos,
1321,B,Pushing start Y mach pos,
1322,B,push delay,
1323,B,Pushing end X mach pos,
1324,B,Pushing end Y mach pos,
1325,B,Pushing completed X mach pos,
1326,B,Pushing completed X mach pos,
1327,B,pushing speed,
1328,B,4th-Axis Mach position before tool change,
1329,B,5th-Axis Mach position before tool change,
1330,B,X coordinate of No.1 Tool,
1331,B,X coordinate of No.2 Tool,
1332,B,X coordinate of No.3 Tool,
1333,B,X coordinate of No.4 Tool,
1334,B,X coordinate of No.5 Tool,
1335,B,X coordinate of No.6 Tool,
1336,B,X coordinate of No.7 Tool,
1337,B,X coordinate of No.8 Tool,
1338,B,X coordinate of No.9 Tool,
1339,B,X coordinate of No.10 Tool,
1340,B,X coordinate of No.11 Tool,
1341,B,X coordinate of No.12 Tool,
1342,B,X coordinate of No.13 Tool,
1343,B,X coordinate of No.14 Tool,
1344,B,X coordinate of No.15 Tool,
1345,B,X coordinate of No.16 Tool,
1346,B,X coordinate of No.17 Tool,
1347,B,X coordinate of No.18 Tool,
1348,B,X coordinate of No.19 Tool,
1349,B,X coordinate of No.20 Tool,
1350,B,Y coordinate of No.1 Tool,
1351,B,Y coordinate of No.2 Tool,
1352,B,Y coordinate of No.3 Tool,
1353,B,Y coordinate of No.4 Tool,
1354,B,Y coordinate of No.5 Tool,
1355,B,Y coordinate of No.6 Tool,
1356,B,Y coordinate of No.7 Tool,
1357,B,Y coordinate of No.8 Tool,
1358,B,Y coordinate of No.9 Tool,
1359,B,Y coordinate of No.10 Tool,
1360,B,Y coordinate of No.11 Tool,
1361,B,Y coordinate of No.12 Tool,
1362,B,Y coordinate of No.13 Tool,
1363,B,Y coordinate of No.14 Tool,
1364,B,Y coordinate of No.15 Tool,
1365,B,Y coordinate of No.16 Tool,
1366,B,Y coordinate of No.17 Tool,
1367,B,Y coordinate of No.18 Tool,
1368,B,coordinate of No.19 Tool,
1369,B,Y coordinate of No.20 Tool,
1370,B,Z coordinate of No.1 Tool,
1371,B,Z coordinate of No.2 Tool,
1372,B,Z coordinate of No.3 Tool,
1373,B,Z coordinate of No.4 Tool,
1374,B,Z coordinate of No.5 Tool,
1375,B,Z coordinate of No.6 Tool,
1376,B,Z coordinate of No.7 Tool,
1377,B,Z coordinate of No.8 Tool,
1378,B,Z coordinate of No.9 Tool,
1379,B,Z coordinate of No.10 Tool,
1380,B,Z coordinate of No.11 Tool,
1381,B,Z coordinate of No.12 Tool,
1382,B,Z coordinate of No.13 Tool,
1383,B,Z coordinate of No.14 Tool,
1384,B,Z coordinate of No.15 Tool,
1385,B,coordinate of No.16 Tool,
1386,B,Z coordinate of No.17 Tool,
1387,B,Z coordinate of No.18 Tool,
1388,B,Z coordinate of No.19 Tool,
1389,B,Z coordinate of No.20 Tool,
1390,B,X offset of No.1 Tool,
1391,B,X offset of No.2 Tool,
1392,B,X offset of No.3 Tool,
1393,B,X offset of No.4 Tool,
1394,B,X offset of No.5 Tool,
1395,B,X offset of No.6 Tool,
1396,B,X offset of No.7 Tool,
1397,B,X offset of No.8 Tool,
1398,B,X offset of No.9 Tool,
1399,B,X offset of No.10 Tool,
1400,B,X offset of No.11 Tool,
1401,B,X offset of No.12 Tool,
1402,B,X offset of No.13 Tool,
1403,B,X offset of No.14 Tool,
1404,B,X offset of No.15 Tool,
1405,B,X offset of No.16 Tool,
1406,B,X offset of No.17 Tool,
1407,B,X offset of No.18 Tool,
1408,B,X offset of No.19 Tool,
1409,B,X offset of No.20 Tool,
1410,B,Y offset of No.1 Tool,
1411,B,Y offset of No.2 Tool,
1412,B,Y offset of No.3 Tool,
1413,B,Y offset of No.4 Tool,
1414,B,Y offset of No.5 Tool,
1415,B,Y offset of No.6 Tool,
1416,B,Y offset of No.7 Tool,
1417,B,Y offset of No.8 Tool,
1418,B,Y offset of No.9 Tool,
1419,B,Y offset of No.10 Tool,
1420,B,Y offset of No.11 Tool,
1421,B,Yoffset of No.12 Tool,
1422,B,Y offset of No.13 Tool,
1423,B,Y offset of No.14 Tool,
1424,B,Y offset of No.15 Tool,
1425,B,offset of No.16 Tool,
1426,B,Y offset of No.17 Tool,
1427,B,Y offset of No.18 Tool,
1428,B,Y offset of No.19 Tool,
1429,B,Y offset of No.20 Tool,
1430,B,offset of No.1 Tool,
1431,B,Z offset of No.2 Tool,
1432,B,Z offset of No.3 Tool,
1433,B,Z offset of No.4 Tool,
1434,B,Z offset of No.5 Tool,
1435,B,Z offset of No.6 Tool,
1436,B,Z offset of No.7 Tool,
1437,B,Z offset of No.8 Tool,
1438,B,Z offset of No.9 Tool,
1439,B,Z offset of No.10 Tool,
1440,B,Z offset of No.11 Tool,
1441,B,Z offset of No.12 Tool,
1442,B,Z offset of No.13 Tool,
1443,B,Z offset of No.14 Tool,
1444,B,Z offset of No.15 Tool,
1445,B,Z offset of No.16 Tool,
1446,B,Z offset of No.17 Tool,
1447,B,Z offset of No.18 Tool,
1448,B,Z offset of No.19 Tool,
1449,B,Z offset of No.20 Tool,
1450,B,T1 file no.,
1451,B,T2 file no.,
1452,B,Safety height Z,
1453,B,Starting point Y,
1454,B,Starting point Z,
1455,B,Xpos1,work coordinate value.
1456,B,Xpos2,work coordinate value.
1457,B,Xpos3,work coordinate value.
1458,B,Xpos4,work coordinate value.
1459,B,Xpos5,work coordinate value.
1460,B,Xpos6,work coordinate value.
1461,B,,
1462,B,,
1463,B,,
1464,B,,
1465,B,pause between T1 and T2,
1466,B,T1 spindle speed,
1467,B,T2 spindle speed,
1468,B,NC file index no.,
1469,B,Custom G-code number,自定义G代码号
1470,B,,
1471,B,,
1472,B,This feature was developed at the request of one of the clients. What it does is not clear.,"May be -57.544. That is, it seems to work."
1473,B,Virtual tool Z offset 1,
1474,B,Virtual tool Z offset 2,
1475,B,Virtual tool Z offset 3,
1476,B,Virtual tool Z offset 4,
1477,B,Virtual tool Z offset 5,
1478,B,Virtual tool Z offset 6,
1479,B,Virtual tool Z offset 7,
1480,B,Virtual tool Z offset 8,
1481,B,Virtual tool Z offset 9,
1482,B,Virtual tool Z offset 10,
1483,B,Virtual tool Z offset 11,
1484,B,Virtual tool Z offset 12,
1485,B,Virtual tool Z offset 13,
1486,B,Virtual tool Z offset 14,
1487,B,Virtual tool Z offset 15,
1488,B,Virtual tool Z offset 16,
1489,B,Virtual tool Z offset 17,
1490,B,Virtual tool Z offset 18,
1491,B,Virtual tool Z offset 19,
1492,B,Virtual tool Z offset 20,
1493,B,,
1494,B,,
1495,B,,
1496,B,,
1497,B,,
1498,B,,
1499,B,coordinate offset method,
1500,S,M1 Unconditional stop Status,Enable/disable for M1
1501,S,"Tapping mode: 0 Left-hand tapping thread(Counter-thread),1Right-hand tapping thread(Normal thread)",Thread cutting mode. Right or left.
1502,S,Probe Mode,Sets the probing mode. 0-?; 1-movable sensor; 2-fixed sensor
1503,S,prompt information,"Prints text to the status bar, only works if ""#269 Debug printing enable"" = 1"
1504,S,Target Tool number Temporary variables,Stores the tool number from the M6Txx command
1505,S,Dialog prompt message,Displays a window with a message number.
1506,S,single piece processing finished mark,Saves how the last UE ended. M30 or M47
1507,S,Processing time record switch,Stops and starts the NC execution timer (Work Time)
1508,S,2nd probe operation switch,
1509,R/O,buzzer control,Beeps with a squeaker
1510,S,Print Value 1,Works in conjunction with #1503
1511,S,Print Value 2,Works in conjunction with #1503
1512,S,Print Value 3,Works in conjunction with #1503
1513,S,Print Value 4,Works in conjunction with #1503
1514,S,Lift up enable when pause,
1515,S,The Mark when X back to Home,"Displays the status and toggles the ""homeless"" icon of the axis (when an axis is homemade, a dot appears next to its letter on the main screen)"
1516,S,The Mark when Y back to Home,"Displays the status and toggles the ""homeless"" icon of the axis (when an axis is homemade, a dot appears next to its letter on the main screen)"
1517,S,The Mark when Z back to Home,"Displays the status and toggles the ""homeless"" icon of the axis (when an axis is homemade, a dot appears next to its letter on the main screen)"
1518,S,The Mark when 4th back to Home,"Displays the status and toggles the ""homeless"" icon of the axis (when an axis is homemade, a dot appears next to its letter on the main screen)"
1519,S,The Mark when 5th back to Home,"Displays the status and toggles the ""homeless"" icon of the axis (when an axis is homemade, a dot appears next to its letter on the main screen)"
1520,R/O,Common Input port 01 Status,Displays the status of the input port. Closed=0; open=1
1521,R/O,Common Input port 02 Status,Displays the status of the input port. Closed=0; open=1
1522,R/O,Common Input port 03 Status,Displays the status of the input port. Closed=0; open=1
1523,R/O,Common Input port 04 Status,Displays the status of the input port. Closed=0; open=1
1524,R/O,Common Input port 05 Status,Displays the status of the input port. Closed=0; open=1
1525,R/O,Common Input port 06 Status,Displays the status of the input port. Closed=0; open=1
1526,R/O,Common Input port 07 Status,Displays the status of the input port. Closed=0; open=1
1527,R/O,Common Input port 08 Status,Displays the status of the input port. Closed=0; open=1
1528,R/O,Common Input port 09 Status,Displays the status of the input port. Closed=0; open=1
1529,R/O,Common Input port 10 Status,Displays the status of the input port. Closed=0; open=1
1530,R/O,Common Input port 11 Status,Displays the status of the input port. Closed=0; open=1
1531,R/O,Common Input port 12 Status,Displays the status of the input port. Closed=0; open=1
1532,R/O,Common Input port 13 Status,Displays the status of the input port. Closed=0; open=1
1533,R/O,Common Input port 14 Status,Displays the status of the input port. Closed=0; open=1
1534,R/O,Common Input port 15 Status,Displays the status of the input port. Closed=0; open=1
1535,R/O,Common Input port 16 Status,Displays the status of the input port. Closed=0; open=1
1536,R/O,Common Input port 17 Status,Displays the status of the input port. Closed=0; open=1
1537,R/O,Common Input port 18 Status,Displays the status of the input port. Closed=0; open=1
1538,R/O,Common Input port 19 Status,Displays the status of the input port. Closed=0; open=1
1539,R/O,Common Input port 20 Status,Displays the status of the input port. Closed=0; open=1
1540,R/O,Common Input port 21 Status,Displays the status of the input port. Closed=0; open=1
1541,R/O,Common Input port 22 Status,Displays the status of the input port. Closed=0; open=1
1542,R/O,Common Input port 23 Status,Displays the status of the input port. Closed=0; open=1
1543,R/O,Common Input port 24 Status,Displays the status of the input port. Closed=0; open=1
1544,S,,
1545,S,Delay time (milliseconds),
1546,S,,
1547,S,,
1548,S,,
1549,S,,
1550,S,,
1551,S,,
1552,S,Common Output port 01 Status,"Toggles the state of the output port. 1=closed; 0=open. Can only be 1 or 0. If any number > 1 is written, the value is converted to 1."
1553,S,Common Output port 02 Status,"Toggles the state of the output port. 1=closed; 0=open. Can only be 1 or 0. If any number > 1 is written, the value is converted to 1."
1554,S,Common Output port 03 Status,"Toggles the state of the output port. 1=closed; 0=open. Can only be 1 or 0. If any number > 1 is written, the value is converted to 1."
1555,S,Common Output port 04 Status,"Toggles the state of the output port. 1=closed; 0=open. Can only be 1 or 0. If any number > 1 is written, the value is converted to 1."
1556,S,Common Output port 05 Status,"Toggles the state of the output port. 1=closed; 0=open. Can only be 1 or 0. If any number > 1 is written, the value is converted to 1."
1557,S,Common Output port 06 Status,"Toggles the state of the output port. 1=closed; 0=open. Can only be 1 or 0. If any number > 1 is written, the value is converted to 1."
1558,S,Common Output port 07 Status,"Toggles the state of the output port. 1=closed; 0=open. Can only be 1 or 0. If any number > 1 is written, the value is converted to 1."
1559,S,Common Output port 08 Status,"Toggles the state of the output port. 1=closed; 0=open. Can only be 1 or 0. If any number > 1 is written, the value is converted to 1."
1560,S,Common Output port 09 Status,"Toggles the state of the output port. 1=closed; 0=open. Can only be 1 or 0. If any number > 1 is written, the value is converted to 1."
1561,S,Common Output Port 10 Status,"Toggles the state of the output port. 1=closed; 0=open. Can only be 1 or 0. If any number > 1 is written, the value is converted to 1."
1562,S,Common Output port 11 Status,"Toggles the state of the output port. 1=closed; 0=open. Can only be 1 or 0. If any number > 1 is written, the value is converted to 1."
1563,S,Common Output port 12 Status,"Toggles the state of the output port. 1=closed; 0=open. Can only be 1 or 0. If any number > 1 is written, the value is converted to 1."
1564,S,Common Output port 13 Status,"Toggles the state of the output port. 1=closed; 0=open. Can only be 1 or 0. If any number > 1 is written, the value is converted to 1."
1565,S,Common Output port 14 Status,"Toggles the state of the output port. 1=closed; 0=open. Can only be 1 or 0. If any number > 1 is written, the value is converted to 1."
1566,S,Common Output Port 15 Status,"Toggles the state of the output port. 1=closed; 0=open. Can only be 1 or 0. If any number > 1 is written, the value is converted to 1."
1567,S,Common Output port 16 Status,"Toggles the state of the output port. 1=closed; 0=open. Can only be 1 or 0. If any number > 1 is written, the value is converted to 1."
1568,S,Common Output port 17 Status,"Toggles the state of the output port. 1=closed; 0=open. Can only be 1 or 0. If any number > 1 is written, the value is converted to 1."
1569,S,Common Output port 18 Status,"Toggles the state of the output port. 1=closed; 0=open. Can only be 1 or 0. If any number > 1 is written, the value is converted to 1."
1570,S,Common Output port 19 Status,"Toggles the state of the output port. 1=closed; 0=open. Can only be 1 or 0. If any number > 1 is written, the value is converted to 1."
1571,S,Common Output Port 20 Status,"Toggles the state of the output port. 1=closed; 0=open. Can only be 1 or 0. If any number > 1 is written, the value is converted to 1."
1572,S,Common Output port 21 Status,"Toggles the state of the output port. 1=closed; 0=open. Can only be 1 or 0. If any number > 1 is written, the value is converted to 1."
1573,S,Common Output port 22 Status (unused),"Toggles the state of the output port. 1=closed; 0=open. Can only be 1 or 0. If any number > 1 is written, the value is converted to 1."
1574,S,Common Output port 23 Status (unused),"Toggles the state of the output port. 1=closed; 0=open. Can only be 1 or 0. If any number > 1 is written, the value is converted to 1."
1575,S,Common Output port 24 Status (unused),"Toggles the state of the output port. 1=closed; 0=open. Can only be 1 or 0. If any number > 1 is written, the value is converted to 1."
1576,R/O,,
1577,S,,
1578,S,,
1579,S,,
1580,S,,
1581,S,,
1582,S,,
1583,S,,
1584,S,,
1585,S,,
1586,S,,
1587,S,,
1588,S,,
1589,S,,
1590,S,,
1591,S,,
1592,S,,
1593,S,,
1594,S,,
1595,S,,
1596,S,,
1597,S,,
1598,S,,
1599,S,,
1600,S,,
1601,S,,
1602,S,,
1603,S,,
1604,S,,
1605,S,,
1606,S,,
1607,S,,
1608,S,,
1609,S,,
1610,S,,
1611,S,,
1612,S,,
1613,S,,
1614,S,,
1615,S,,
1616,S,Current spindle speed,Displays how fast the spindle is currently turning. If the spindle is stopped (M5) then 0.
1617,S,,
1618,S,Home Start Sign 0:Start 1:End,When any axis is homed = 1. Otherwise 0. Homing progress indicator at start.
1619,S,label prompt information,Outputs text to a label printer (physical device)
1620,R/O,Analyze channel 1 Execution methods: 0：Request to Start or Restart 1:Request an Internal Pause 2:Request an external Pause,"Utility function, manufacturer only."
1621,R/O,Analyze channel 2 Execution methods: 0：Request to Start or Restart 1:Request an Internal Pause 2:Request an external Pause,"Utility function, manufacturer only."
1622,R/O,Analyze channel 3 Execution methods: 0：Request to Start or Restart 1:Request an Internal Pause 2:Request an external Pause,"Utility function, manufacturer only."
1623,R/O,Analyze channel 4 Execution methods: 0：Request to Start or Restart 1:Request an Internal Pause 2:Request an external Pause,"Utility function, manufacturer only."
1624,R/O,Analyze channel 5 Execution methods: 0：Request to Start or Restart 1:Request an Internal Pause 2:Request an external Pause,"Utility function, manufacturer only."
1625,R/O,Analyze channel 6 Execution methods: 0：Request to Start or Restart 1:Request an Internal Pause 2:Request an external Pause,"Utility function, manufacturer only."
1626,R/O,Analyze channel 7 Execution methods: 0：Request to Start or Restart 1:Request an Internal Pause 2:Request an external Pause,"Utility function, manufacturer only."
1627,S,,
1628,S,,
1629,S,,
1630,R/O,Analyze channel 1 status: -1:Idle 0:Working 1: Pause,"Utility function, manufacturer only."
1631,R/O,Analyze channel 1 status: -1:Idle 0:Working 1: Pause,"Utility function, manufacturer only."
1632,R/O,Analyze channel 1 status: -1:Idle 0:Working 1: Pause,"Utility function, manufacturer only."
1633,R/O,Analyze channel 1 status: -1:Idle 0:Working 1: Pause,"Utility function, manufacturer only."
1634,R/O,Analyze channel 1 status: -1:Idle 0:Working 1: Pause,"Utility function, manufacturer only."
1635,R/O,Analyze channel 1 status: -1:Idle 0:Working 1: Pause,"Utility function, manufacturer only."
1636,R/O,Analyze channel 1 status: -1:Idle 0:Working 1: Pause,"Utility function, manufacturer only."
1637,S,,
1638,S,,
1639,S,,
1640,S,,
1641,S,,
1642,S,,
1643,S,,
1644,S,,
1645,S,,
1646,S,,
1647,S,,
1648,S,,
1649,S,,
1650,S,,
1651,S,,
1652,S,,
1653,S,,
1654,S,,
1655,S,,
1656,S,,
1657,S,,
1658,S,,
1659,S,,
1660,S,,
1661,S,,
1662,S,,
1663,S,,
1664,S,,
1665,S,,
1666,S,,
1667,S,,
1668,S,,
1669,S,,
1670,S,,
1671,S,,
1672,S,,
1673,S,,
1674,S,,
1675,S,,
1676,S,,
1677,S,,
1678,S,,
1679,S,,
1680,S,,
1681,S,,
1682,S,,
1683,S,,
1684,S,,
1685,S,,
1686,S,,
1687,S,,
1688,S,,
1689,S,,
1690,S,,
1691,S,,
1692,S,,
1693,S,,
1694,S,,
1695,S,,
1696,S,,
1697,S,,
1698,S,,
1699,S,,
1700,R/O,Function Key 1 Status,
1701,R/O,Function Key 2 Status,
1702,R/O,Function Key 3 Status,
1703,R/O,Function Key 4 Status,
1704,R/O,Function Key 5 Status,
1705,R/O,Function Key 6 Status,
1706,R/O,Function Key 7 Status,
1707,R/O,Function Key 8 Status,
1708,R/O,Function Key 9 Status,
1709,R/O,Function Key 10 Status,
1710,R/O,Function Key 11 Status,
1711,R/O,Extended Key 1 Status,
1712,R/O,Extended Key 2 Status,
1713,R/O,Extended Key 3 Status,
1714,R/O,Extended Key 4 Status,
1715,R/O,Extended Key 5 Status,
1716,R/O,Extended Key 6 Status,
1717,R/O,Extended Key 7 Status,
1718,R/O,Extended Key 8 Status,
1719,S,,
1720,S,,
1721,S,,
1722,S,,
1723,S,,
1724,S,,
1725,S,,
1726,S,,
1727,S,,
1728,S,,
1729,S,,
1730,S,,
1731,S,,
1732,S,,
1733,S,,
1734,S,,
1735,S,,
1736,S,,
1737,S,,
1738,S,,
1739,S,,
1740,S,,
1741,S,,
1742,S,,
1743,S,,
1744,S,,
1745,S,,
1746,S,,
1747,S,,
1748,S,,
1749,S,,
1750,S,modbus function macro address,Variable for COM port (modbus function). This RS232 control method is obsolete. Another one has now been implemented.
1751,S,modbus function macro address,Variable for COM port (modbus function). This RS232 control method is obsolete. Another one has now been implemented.
1752,S,modbus function macro address,Variable for COM port (modbus function). This RS232 control method is obsolete. Another one has now been implemented.
1753,S,modbus function macro address,Variable for COM port (modbus function). This RS232 control method is obsolete. Another one has now been implemented.
1754,S,modbus function macro address,Variable for COM port (modbus function). This RS232 control method is obsolete. Another one has now been implemented.
1755,S,modbus function macro address,Variable for COM port (modbus function). This RS232 control method is obsolete. Another one has now been implemented.
1756,S,modbus function macro address,Variable for COM port (modbus function). This RS232 control method is obsolete. Another one has now been implemented.
1757,S,modbus function macro address,Variable for COM port (modbus function). This RS232 control method is obsolete. Another one has now been implemented.
1758,S,modbus function macro address,Variable for COM port (modbus function). This RS232 control method is obsolete. Another one has now been implemented.
1759,S,modbus function macro address,Variable for COM port (modbus function). This RS232 control method is obsolete. Another one has now been implemented.
1760,S,modbus function macro address,accept data buffer address (e.g. 1790)
1761,S,modbus function macro address,Serial port number for receiving data (there are 0 and 1)
1762,S,modbus function macro address,ID number of the slave device
1763,S,modbus function macro address,encoder circle address
1764,S,modbus function macro address,Number of bytes
1765,S,modbus function macro address,function code 03
1766,S,modbus function macro address,Receives some data
1767,S,modbus function macro address,laps return code (the value of this variable is displayed in a message in the status bar)
1768,S,modbus function macro address,Variable for COM port (modbus function). This RS232 control method is obsolete. Another one has now been implemented.
1769,S,modbus function macro address,"Trigger for the end of data reception. It is set to 1, then WHILE [#1769 NE 0] DO1, a pause G04P10 is written in the loop body. When #1769=0, the data is accepted."
1770,S,modbus function macro address,This variable stores the result of data transformation
1771,S,modbus function macro address,row index (usually set to 1790 - data buffer address)
1772,S,modbus function macro address,Number of bytes
1773,S,modbus function macro address,"Number type - 1 - 16-bit signed integer; 4 is a 32-bit unsigned integer. Accepts only 1, 2, 3, 4"
1774,S,modbus function macro address,Variable for COM port (modbus function). This RS232 control method is obsolete. Another one has now been implemented.
1775,S,modbus function macro address,Data conversion (1 - convert data)
1776,S,modbus function macro address,Variable for COM port (modbus function). This RS232 control method is obsolete. Another one has now been implemented.
1777,S,modbus function macro address,Variable for COM port (modbus function). This RS232 control method is obsolete. Another one has now been implemented.
